Player,TOV%,USG%,DBPM,BPM,Pos,3PA,2P%,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Christian Laettner,16.7,20.1,0.0,-0.8,C,0.3,0.479,0.812,6.7,2.3,1.0,0.5,2.3,4.0,12.2
Raef LaFrentz,8.9,19.3,0.4,0.2,C,2.3,0.477,0.686,7.9,1.2,0.5,2.2,1.2,3.6,12.4
Voshon Lenard,11.7,22.3,-0.4,0.1,SG,4.3,0.419,0.792,2.9,2.6,0.8,0.3,1.5,2.4,11.9
Rashard Lewis,11.2,19.6,0.0,0.6,SF,1.5,0.527,0.683,4.1,0.9,0.8,0.4,1.0,2.0,8.2
Randy Livingston,18.7,20.1,1.0,-1.8,PG,0.7,0.428,0.839,1.6,2.2,0.6,0.2,1.2,1.6,4.8
Luc Longley,23.5,18.0,0.4,-4.6,C,0.0,0.466,0.825,4.5,1.1,0.3,0.6,1.9,3.1,6.3
George Lynch,14.2,15.3,1.6,1.0,SF,0.5,0.464,0.617,7.8,1.8,1.6,0.5,1.6,3.1,9.6
Corey Maggette,19.1,22.1,-1.0,-2.5,SF,0.1,0.485,0.751,3.9,0.8,0.3,0.3,1.8,2.2,8.4
Dan Majerle,12.1,10.4,2.1,1.9,SG,4.4,0.508,0.812,4.8,3.0,1.3,0.2,0.9,2.3,7.3
Karl Malone*,11.4,31.9,1.1,7.5,PF,0.1,0.511,0.797,9.5,3.7,1.0,0.9,2.8,2.8,25.5
Matt Maloney,15.7,15.6,-1.5,-2.9,PG,3.4,0.361,0.822,1.3,2.7,0.6,0.1,1.2,0.8,6.4
Danny Manning,13.2,15.2,0.7,-2.6,PF,0.1,0.442,0.654,2.9,1.0,0.9,0.4,0.8,2.5,4.6
Stephon Marbury,14.8,28.2,-1.3,2.4,PG,3.1,0.464,0.813,3.2,8.4,1.5,0.2,3.6,2.6,22.2
Shawn Marion,9.1,19.6,0.9,1.3,SF,0.4,0.486,0.847,6.5,1.4,0.7,1.0,1.0,2.2,10.2
Donyell Marshall,11.4,21.9,-0.5,0.7,PF,2.2,0.402,0.78,10.0,2.6,1.1,1.1,1.9,2.8,14.2
Jamal Mashburn,12.5,23.8,-0.4,0.5,SF,3.7,0.458,0.778,5.0,3.9,1.0,0.2,2.4,2.8,17.5
Anthony Mason,15.9,14.4,0.7,0.8,SF,0.0,0.48,0.746,8.5,4.5,0.9,0.4,2.0,2.7,11.6
George McCloud,15.7,17.5,-0.7,-0.2,SF,3.6,0.448,0.818,3.7,3.2,0.6,0.3,1.7,2.3,10.1
Antonio McDyess,13.8,26.9,-0.1,0.7,PF,0.0,0.508,0.626,8.5,2.0,0.9,1.7,2.8,3.9,19.1
Tracy McGrady*,11.8,24.3,0.9,3.5,SF,0.8,0.463,0.707,6.3,3.3,1.1,1.9,2.0,2.5,15.4
Jim McIlvaine,17.5,9.2,2.4,-2.1,C,0.0,0.416,0.518,3.5,0.5,0.4,1.8,0.6,3.1,2.4
Aaron McKie,14.7,17.3,2.2,1.2,SG,1.5,0.424,0.829,3.0,2.9,1.3,0.2,1.4,2.4,8.0
Ron Mercer,11.2,24.4,-1.3,-3.1,SG,0.7,0.431,0.789,3.7,2.3,1.1,0.3,2.2,2.2,16.9
Andre Miller,15.8,21.8,0.0,1.9,PG,0.6,0.466,0.774,3.4,5.8,1.0,0.2,2.0,2.4,11.1
Oliver Miller,21.8,13.7,3.1,2.0,C,0.0,0.588,0.671,5.1,1.3,0.8,1.6,1.5,2.6,6.3
Reggie Miller*,9.6,20.5,-0.3,2.7,SG,5.0,0.473,0.919,3.0,2.3,1.0,0.3,1.6,1.6,18.1
Terry Mills,8.4,13.1,0.1,-0.3,PF,3.0,0.484,0.735,4.8,1.0,0.5,0.3,0.6,3.0,6.7
Sam Mitchell,9.6,16.9,-0.3,-1.7,SF,0.3,0.448,0.88,2.1,1.7,0.4,0.2,0.7,1.8,6.5
Cuttino Mobley,13.7,23.9,-0.8,-0.1,SG,3.6,0.46,0.847,3.6,2.6,1.1,0.4,2.3,2.1,15.8
Alonzo Mourning*,13.1,28.1,2.2,5.3,C,0.1,0.553,0.711,9.5,1.6,0.5,3.7,2.7,3.9,21.7
Lamond Murray,13.9,24.3,-0.3,-0.3,SF,1.9,0.465,0.761,5.7,1.8,1.4,0.5,2.5,2.8,15.9
Tracy Murray,10.3,19.8,-1.0,0.6,SF,3.3,0.435,0.851,3.4,0.9,0.6,0.3,1.1,2.3,10.2
Dikembe Mutombo*,18.7,13.8,1.5,2.4,C,0.0,0.562,0.708,14.1,1.3,0.3,3.3,2.1,3.0,11.5
Steve Nash*,20.3,14.5,-1.5,-0.9,PG,2.7,0.528,0.882,2.2,4.9,0.7,0.1,1.8,2.2,8.6
Tyrone Nesby,9.3,21.1,-1.7,-2.7,SG,3.8,0.426,0.791,3.8,1.7,1.0,0.4,1.4,2.8,13.3
